Product ID,Active (0/1),Name *,Price tax excluded,Tax rules ID,Reference #,Manufacturer,Quantity,Summary,Description,Meta description,Image URLs,Category
11,1,Plastic flange 127mm para 1500-2600 9000  - Can Filters,"3950,000",1,PLASTI139,Can Filters,100,"<div class=""rte"" itemprop=""description"">Plastic flange 127mm para 1500-2600 9000 CAN-FILTERS</div>","<h3 class=""page-product-heading"">Más</h3><div class=""rte"">Plastic flange 127mm para 1500-2600 9000 CAN-FILTERS</div>",,http://siembratienda.com/251-large_default/plastic-flange-127mm-para-15002600-9000-canfilters.jpg,Filtros de Carbono;Control de Olor;Herramientas y Accesorios;Varios;
12,1,Bio Flores 500ml - Canna,"15966,000",1,BIOFLO140,Canna,100,Este abono 100% orgánico provee los nutrientes esenciales que tu planta necesita en su fase de floración.Este abono 100% orgánico provee los nutrientes esenciales que tu planta necesita en su fase de floración....,"<div class=""h5 text-uppercase index_title""><span>Descripción</span></div><div class=""product-description""><p><span  >Este abono 100% orgánico provee los nutrientes esenciales que tu planta necesita en su fase de floración.</span><br  ><br  ><span  >A base de extracto de lúpulo y otras materias primas de primera calidad, Canna Bio Flores mejora la calidad de tus cogollos, aumentando su tamaño y producción de resina con muy poco esfuerzo, obteniendo resultados increíbles ya sea en cultivos de exterior o interior.</span><br  ><br  ><span  >El material fermentado de este fertilizante también contiene sustancias tales como la betaína y gran cantidad de aminoácidos que proporcionan a la planta una fuerza extra para su floración.</span><br  ><br  ><span  >Modo de uso</span><br  ><span  >•    Agitar la botella muy bien antes de usar.</span><br  ><span  >•    Disolver 40 ml del concentrado en 10 litros de agua (1:250).</span><br  ><span  >•    Según el tamaño de la maceta y de la planta: Añadir 1 a 3 veces por semana al agua de riego.</span><br  ><span  >•    La solución diluida no necesita ser acidulada.</span><br  ><span  >•    Gastar la solución diluida en un plazo de 24 horas.</span><br  ><span  >•    Suministrar a través de sistemas de goteo: seguidamente, dejar correr agua por los conductos para evitar su obstrucción.</span><br  ><br  ><span  >Detalle del producto</span><br  ><span  >•    Referencia: 51510</span><br  ><span  >•    Fabricante: Canna</span><br  ><span  >•    Tipo: fertilizante de floración</span><br  ><span  >•    Formato: 1 bidón de 500mL</span><br  ><span  >•    Composición NPK (%): 2/2/5</span><br  ><span  >•    Dosis recomendada: 4ml por 1L de agua</span><br  ><span  >•    Alto: 22cm</span><br  ><span  >•    Ancho: 12cm</span><br  ><span  >•    Profundidad: 5cm</span><br  ><span  >•    Peso: 0,6kg</span></p></div>",Este abono 100% orgánico provee los nutrientes esenciales que tu planta necesita en su fase de floración....,https://notorious.cl/7110-large_default/biocanna-flores-05-l.jpg,Canna;Marca;Bases;Fertilizantes y Abonos;
13,1,Terra Vega 5lt - Canna,"58824,000",1,TERRAV145,Canna,100,Terra Vega de Canna es un fertilizante completo para la fase de crecimiento que aporta los nutrientes imprescindibles para que tus plantas crezcan sanas y fuertes en sustrato de tierra.Terra Vega de Canna es un fertilizante completo para la fase de crecimiento que aporta los nutrientes imprescindibles para que tus plantas crezcan sanas y fuertes en sustrato de tierra....,"<div class=""h5 text-uppercase index_title""><span>Descripción</span></div><div class=""product-description""><p  ><span  ><span  >Terra Vega</span> de <span  >Canna</span> es un abono <span  >base de crecimiento</span> que aporta nutrientes imprescindibles para que tus plantas crezcan <span  >sanas y fuertes</span> en <span  >sustratos orgánicos</span> con nutrientes como la <span  >tierra.</span> Tus plantas experimentarán un <span  >exuberante desarrollo vegetativo</span> que prepara nuestro cultivo para una<span  > floración muy productiva.</span></span></p> <p  ><span  >Los<span  > ingredientes de primera calidad</span> de <span  >origen mineral</span> que lo componen son completamente <span  >solubles en agua y 100% asimilables</span> por tus plantas. Garantiza un correcto desarrollo de tus plantas, <span  >sin carencias</span> durante la fase vegetativa.</span></p> <p  ><span  ><span  >Terra Vega</span> de <span  >Canna</span> puede utilizarse en cualquier sistema de riego por goteo, sin miedo a obstrucciones en las tuberías.</span></p> <p  ><span  ><span  >Se suele combinar</span> con otros aditivos que estimulan el crecimiento de las raíces, como<span  > Rhizotonic</span> de<span  > Canna</span> y productos que estimulan la vida del suelo, como <span  >Canna Boost Accelerator,</span> o reconvierten la materia orgánica presente en el sustrato, como <span  >Cannazym,</span> para <span  >maximizar el rendimiento de tus cosechas.</span></span></p> <p  ><span  >Conseguirás<span  > enormes ejemplares</span> de un <span  >verde radiante</span> con muy poco esfuerzo. Consulta la estudiada tabla de cultivo que proporciona el fabricante para obtener<span  > resultados profesionales</span> cuando hagas la cosecha.</span></p> <p  ><span  ><span  >Dosis y modo de empleo de</span> Terra Vega de Canna:</span></p> <ul  ><li  ><span  >Añadir a partir de que la planta tenga 3 pares de hojas.</span></li> <li  ><span  >Añadiremos de 4 a 5ml por litro de agua de tu solución de nutrientes.</span></li> <li  ><span  >Suminístralo a tus plantas alternando con riegos sólo con agua, sin fertilizantes, durante el proceso de crecimiento de nuestras plantas.</span></li> </ul><p  ><span  >Se puede usar en combinación con otros aditivos como Rhizotonic de canna.</span></p> <p  ><span  ><span  >Composición de</span> Terra Vega de Canna:</span></p> <p  ><span  ><span  >NPK 3-1-3</span></span></p> <ul  ><li  ><span  >3% Nitrógeno.</span></li> <li  ><span  >1% Fósforo.</span></li> <li  ><span  >3% Potasio.</span></li> <li  ><span  >1% Magnesio.</span></li> <li  ><span  >0,7% Azufre.</span></li> <li  ><span  >0,005% Boro.</span></li> <li  ><span  >0,0006% Cobre.</span></li> <li  ><span  >0,014% Hierro.</span></li> <li  ><span  >0,01% Manganeso.</span></li> <li  ><span  >0,0013% Molibdeno.</span></li> <li  ><span  >0,005% Zinc.</span></li> </ul></div>",Terra Vega de Canna es un fertilizante completo para la fase de crecimiento que aporta los nutrientes imprescindibles para que tus plantas crezcan sana...,https://notorious.cl/9511-large_default/canna-terra-vega-5lt.jpg,Canna;Marca;Bases;Fertilizantes y Abonos;
14,1,Terra Flores 500mL - Fertilizante de Flora - Canna,"10084,000",1,TERRAF146,Canna,100,"<p><strong>Terra Flores</strong> de Canna es un fertilizante profesional indispensable para la etapa de floración, contiene nutrientes que potencian la producción de flores, destaca el sabor característico de cada cepa y le aporta los nutrientes esenciales.</p>",,"Terra Flores es un fertilizante profesional para la etapa de floración, contiene nutrientes que potencian la producción de flores y destacan el sabor.",https://astrogrowshop.cl/1175-large_default/canna-terra-flores-500ml.jpg,Canna;Marca;Bases;Fertilizantes y Abonos;
15,1,Terra Vega 500mL - Fertlizante de Vegeta - Canna,"9244,000",1,TERRAV147,Canna,100,"<p><strong>Terra Vega</strong> de Canna es un fertilizante base profesional indispensable para el periodo vegetativo de las plantas, sus compuestos nitrogenados de rápida absorción le entregan los nutrientes necesarios para el desarrollo radicular y el crecimiento de las plantas.</p>",,"Terra Vega es un fertilizante profesional indispensable para el periodo vegetativo de las plantas, contiene compuestos nitrogenados de rápida absorción.",https://astrogrowshop.cl/5572-medium_default/canna-terra-vega-500ml.jpg,Canna;Marca;Bases;Fertilizantes y Abonos;
16,1,Rhizotonic 1 lt - Estimulante Radicular - Canna,"50420,000",1,RHIZOT148,Canna,100,"<p><strong>Rhizotonic</strong> de Canna es un enraizante 100% vegetal para fortalecer las raíces de las plantas, incrementa el crecimiento radicular y aumenta la resistencia frente a enfermedades.</p>",,"Rhizotonic es un estimulante radicular 100% vegetal para fortalecer las raíces de las plantas, incrementa su desarrollo y las protege de enfermedades.",https://astrogrowshop.cl/6104-large_default/canna-rhizotonic-1-lt.jpg,Canna;Marca;Enraizantes;Fertilizantes y Abonos;
17,1,Terra Flores 5 lts - Fertilizante de Flora - Canna,"58824,000",1,TERRAF150,Canna,100,"<p><strong>Terra Flores</strong> de Canna es un fertilizante profesional indispensable para la etapa de floración, contiene nutrientes que potencian la producción de flores, destaca el sabor característico de cada cepa y le aporta los nutrientes esenciales.</p>",,"Terra Flores es un fertilizante profesional para la etapa de floración, contiene nutrientes que potencian la producción de flores y destacan el sabor.",https://astrogrowshop.cl/9195-large_default/friendly-url-autogeneration-failed.jpg,Canna;Marca;Bases;Fertilizantes y Abonos;
18,1,Pk 13/14 5 lt - Potenciador de Flora - Canna,"67227,000",1,PK131152,Canna,100,"<p><strong>PK 13/14</strong> de Canna es un aditivo de alta concentración de macronutrientes indispensables para la etapa de floración como el Fósforo (P) y el Potasio (K) de alta calidad, que estimularán el transporte de alimentos y la producción de flores y azúcares.</p>",,PK 13/14 es un aditivo de alta concentración de Fósforo (P) y Potasio (K) que le aporta los nutrientes indispensables para la etapa de floración.,https://astrogrowshop.cl/9199-large_default/canna-pk-1314-5-lt.jpg,Canna;Marca;Potenciadores y Aditivos;Fertilizantes y Abonos;
19,1,Boost 1 lt - Estimulante de Floracion - Canna,"50420,000",1,BOOST1154,Canna,100,"<p><strong>CannaBoost Accelerator</strong> de Canna es un aditivo mineral que potencia la floración estimulando el desarrollo de nuevas flores, aumentando el rendimiento y la calidad de tus cosechas, resaltando los sabores naturales de la planta.</p>",,"CannaBoost es un aditivo que estimula la producción de flores, entregando la energía necesaria para su desarrollo, resaltando sus aromas y sabores",https://astrogrowshop.cl/983-large_default/canna-boost-1-lt.jpg,Canna;Marca;Potenciadores y Aditivos;Fertilizantes y Abonos;
20,1,Cannazym 1 lt - Enzimas Degradantes - Canna,"26471,000",1,CANNAZ155,Canna,100,<p><strong>Cannazym</strong> de Canna es un aditivo mineral de enzimas de alta calidad que transforma las raíces muertas en azúcares y minerales. Previene la descomposición y la formación de hongos y bacterias dañinas para las plantas.</p>,,"CannaZym es un aditivo enzimático de alta calidad que transforma las raíces muertas en azúcares y minerales, previene la formación de hongos y bacterias.",https://astrogrowshop.cl/7193-large_default/canna-cannazym-1-lt.jpg,Canna;Marca;Potenciadores y Aditivos;Fertilizantes y Abonos;
21,1,Bio Vega 500mL - Fertlizante de Vegeta - Canna,"12605,000",1,BIOVEG156,Canna,100,<p><strong>Bio Vega</strong> de Canna es un fertilizante orgánico con nutrientes esenciales para estimular el crecimiento en el periodo vegetativo de las plantas. Su fórmula rica en nitrógeno de betaína se libera lentamente de acuerdo a las necesidades de la planta optimizando la absorción de nutrientes.</p>,,Bio Vega es un fertilizante para el periodo vegetativo con nutrientes orgánicos esenciales para estimular el crecimiento de las plantas.,https://astrogrowshop.cl/5168-medium_default/canna-bio-vega-500-ml.jpg,Canna;Marca;Bases;Fertilizantes y Abonos;
22,1,Pk 13/14 1 lt - Potenciador de Flora - Canna,"37815,000",1,PK131158,Canna,100,"<p><strong>PK 13/14</strong> de Canna es un aditivo de alta concentración de macronutrientes indispensables para la etapa de floración como el Fósforo (P) y el Potasio (K) de alta calidad, que estimularán el transporte de alimentos y la producción de flores y azúcares.</p>",,PK 13/14 es un aditivo de alta concentración de Fósforo (P) y Potasio (K) que le aporta los nutrientes indispensables para la etapa de floración.,https://astrogrowshop.cl/984-large_default/canna-pk-13-14-1-lt.jpg,Canna;Marca;Potenciadores y Aditivos;Fertilizantes y Abonos;
23,1,Bio Rhizotonic 250mL - Estimulante Radicular - Canna,"22689,000",1,BIORHI160,Canna,100,<p><strong>Bio Rhizotonic</strong> de Canna es un enraizante orgánico con vitaminas que estimulan el desarrollo de pelos radiculares para una mayor absorción de nutrientes y mayor resistencia de la planta.</p>,,Bio Rhizotonic de Canna es un enraizante orgánico con vitaminas que estimulan el desarrollo de pelos radiculares para una mayor absorción de nutrientes y mayor resistencia de la planta. ,https://astrogrowshop.cl/7766-large_default/canna-bio-rhizotonic-250ml-estimulante-radicular.jpg,Canna;Marca;Enraizantes;Fertilizantes y Abonos;
24,1,Delta 8 Crecimiento 500mL - Cannabiogen,"13445,000",1,DELTA8161,Cannabiogen,100,"<div class=""rte"" itemprop=""description"">Está especialmente diseñado para obtener el máximo porte de las plantas de cannabis en fase de crecimiento, consolidando un perfecto sistema radicular y adecuando el cultivo hacia la idónea floración y fructificación.</div>","<h3 class=""page-product-heading"">Más</h3><div class=""rte"">Está especialmente diseñado para obtener el máximo porte de las plantas de cannabis en fase de crecimiento, consolidando un perfecto sistema radicular y adecuando el cultivo hacia la idónea floración y fructificación.</div>","Está especialmente diseñado para obtener el máximo porte de las plantas de cannabis en fase de crecimiento, consolidando un perfecto sistema radicular y adecuando el cultivo hacia la idónea floración y fructificación.",http://siembratienda.com/118-large_default/delta-8-crecimiento-500-ml.jpg,Cannabiogen;Marca;Bases;Fertilizantes y Abonos;
25,1,Delta-9 Estimulante Floración 150mL - Cannabiogen,"8824,000",1,DELTA162,Cannabiogen,100,"<div class=""rte"" itemprop=""description"">Es un revolucionario producto para mejorar la cosecha en los cultivos de marihuana. Estimula la floración temprana y aporta nutrientes y otros compuestos para dar volumen, peso y aroma. Se utiliza cada 10 días desde el principio de la Floración hasta que las flores empiezan a engordar exageradamente.</div>","<h3 class=""page-product-heading"">Más</h3><div class=""rte"">Es un revolucionario producto para mejorar la cosecha en los cultivos de marihuana. Estimula la floración temprana y aporta nutrientes y otros compuestos para dar volumen, peso y aroma. Se utiliza cada 10 días desde el principio de la Floración hasta que las flores empiezan a engordar exageradamente.</div>","Es un revolucionario producto para mejorar la cosecha en los cultivos de marihuana. Estimula la floración temprana y aporta nutrientes y otros compuestos para dar volumen, peso y aroma. Se utiliza cada 10 días desde el principio de la Floración hasta que las flores empiezan a engordar exageradamente.",http://siembratienda.com/119-large_default/delta9-abono-floracion-150-ml.jpg,Cannabiogen;Marca;Potenciadores y Aditivos;Fertilizantes y Abonos;
26,1,Delta-9 Estimulante Floración 500mL - Cannabiogen,"20160,000",1,DELTA163,Cannabiogen,100,"<div class=""rte"" itemprop=""description"">Es un revolucionario producto para mejorar la cosecha en los cultivos de marihuana. Estimula la floración temprana y aporta nutrientes y otros compuestos para dar volumen peso y aroma. Se utiliza cada 10 días desde el principio de la Floración hasta que las flores empiezan a engordar exageradamente.</div>","<h3 class=""page-product-heading"">Más</h3><div class=""rte"">Es un revolucionario producto para mejorar la cosecha en los cultivos de marihuana. Estimula la floración temprana y aporta nutrientes y otros compuestos para dar volumen peso y aroma. Se utiliza cada 10 días desde el principio de la Floración hasta que las flores empiezan a engordar exageradamente.</div>",Es un revolucionario producto para mejorar la cosecha en los cultivos de marihuana. Estimula la floración temprana y aporta nutrientes y otros compuestos para dar volumen peso y aroma. Se utiliza cada 10 días desde el principio de la Floración hasta que las flores empiezan a engordar exageradamente.,http://siembratienda.com/120-large_default/delta9-abono-floracion-500-ml.jpg,Cannabiogen;Marca;Potenciadores y Aditivos;Fertilizantes y Abonos;
27,1,Delta 10 Floración 500mL - Cannabiogen,"13445,000",1,DELTA1164,Cannabiogen,100,"<div class=""rte"" itemprop=""description"">Es un fertilizante natural con el que conseguiremos una buena formación de las flores y un engorde total de nuestros cogollos los cuales se verán beneficiados por micro-elementos que mejoran los procesos de la planta. Al tener una planta saludable que se alimenta bien y buenos nutrientes disponibles en la tierra, conseguiremos mejorar tanto la producción como la calidad final de la cosecha.</div>","<h3 class=""page-product-heading"">Más</h3><div class=""rte"">Es un fertilizante natural con el que conseguiremos una buena formación de las flores y un engorde total de nuestros cogollos los cuales se verán beneficiados por micro-elementos que mejoran los procesos de la planta. Al tener una planta saludable que se alimenta bien y buenos nutrientes disponibles en la tierra, conseguiremos mejorar tanto la producción como la calidad final de la cosecha.</div>","Es un fertilizante natural con el que conseguiremos una buena formación de las flores y un engorde total de nuestros cogollos los cuales se verán beneficiados por micro-elementos que mejoran los procesos de la planta. Al tener una planta saludable que se alimenta bien y buenos nutrientes disponibles en la tierra, conseguiremos mejorar tanto la producción como la calidad final de la cosecha.",http://siembratienda.com/117-large_default/delta-10-floracion-500ml.jpg,Cannabiogen;Marca;Bases;Fertilizantes y Abonos;
28,1,Humidificador 6 L Naranja CE - Cornwall Electronics,"38655,000",1,HUMIDI167,Cornwall Electronics,100,"<div class=""rte"" itemprop=""description"">Description<br>Voltaje: 220-240V ~ 50Hz<br>Potencia: 25W<br>Tanque de agua: 6 Litros<br>Máximo: 350 ml / h<br><br>El humidificador HUMI6N está hecho de plástico reciclable. Puede funcionar ininterrumpidamente durante 16 horas. Sus principales características son que produce una suave niebla refrescante, permite ahorrar energía, es silencioso, tiene apagado automático y una larga vida útil.<br><br>Por medio de la vibración de ondas ultrasónicas, el humidificador divide las gotas de agua en partículas de 1 a 5 µm. Después las partículas son difundidas por medio de un ventilador. Durante este proceso, se producen y difunden una gran cantidad de aniones. De este modo el HUMI6N humidifica y refresca el aire.</div>","<h3 class=""page-product-heading"">Más</h3><div class=""rte"">Description<br>Voltaje: 220-240V ~ 50Hz<br>Potencia: 25W<br>Tanque de agua: 6 Litros<br>Máximo: 350 ml / h<br><br>El humidificador HUMI6N está hecho de plástico reciclable. Puede funcionar ininterrumpidamente durante 16 horas. Sus principales características son que produce una suave niebla refrescante, permite ahorrar energía, es silencioso, tiene apagado automático y una larga vida útil.<br><br>Por medio de la vibración de ondas ultrasónicas, el humidificador divide las gotas de agua en partículas de 1 a 5 µm. Después las partículas son difundidas por medio de un ventilador. Durante este proceso, se producen y difunden una gran cantidad de aniones. De este modo el HUMI6N humidifica y refresca el aire.</div>","DescriptionVoltaje: 220-240V ~ 50HzPotencia: 25WTanque de agua: 6 LitrosM&aacute;ximo: 350 ml / hEl humidificador HUMI6N est&aacute; hecho de pl&aacute;stico reciclable. Puede funcionar ininterrumpidamente durante 16 horas. Sus principales caracter&iacute;sticas son que produce una suave niebla refrescante, permite ahorrar energ&iacute;a, es silencioso, tiene apagado autom&aacute;tico y una larga vida &uacute;til.Por medio de la vibraci&oacute;n de ondas ultras&oacute;nicas, el humidificador divide l...",http://siembratienda.com/2220-large_default/humidificador-6-l-naranja-ce-6uc.jpg,Cornwall Electronics;Control de Clima;Temperatura y Humedad;
